TermID, Name, Frequency, PlotX, PlotY, PlotSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0006351", "transcription, DNA-templated", 2.021, -5.695, 1.622, 5.658, -12.538, 0.555, 0.000, -1, False
"GO:0045765", "regulation of angiogenesis", 0.057, 4.103, -2.618, 4.110, -4.240, 1.000, 0.000, -1, False
"GO:0007018", "microtubule-based movement", 0.340, 4.742, -0.171, 4.883, -10.149, 0.988, 0.007, -1, False
"GO:0000278", "mitotic cell cycle", 0.396, 2.695, -4.793, 4.950, -3.403, 0.988, 0.007, -1, False
"GO:0007017", "microtubule-based process", 0.697, 4.758, 2.414, 5.195, -4.245, 0.987, 0.008, -1, False
"GO:0006457", "protein folding", 0.895, 0.582, -6.571, 5.304, -4.720, 0.987, 0.008, -1, False
"GO:0006886", "intracellular protein transport", 1.368, -1.367, 7.762, 5.488, -12.015, 0.909, 0.008, -1, False
"GO:0042254", "ribosome biogenesis", 1.641, -4.806, -6.425, 5.567, -9.031, 0.879, 0.008, -1, False
"GO:0046488", "phosphatidylinositol metabolic process", 0.388, 2.909, 4.419, 4.940, -3.831, 0.892, 0.070, -1, False
"GO:0000413", "protein peptidyl-prolyl isomerization", 0.441, -3.129, -1.432, 4.996, -6.601, 0.785, 0.179, -1, False
"GO:0007034", "vacuolar transport", 0.153, 0.459, 7.083, 4.536, -5.221, 0.931, 0.260, -1, False
"GO:0006078", "(1->6)-beta-D-glucan biosynthetic process", 0.015, -0.695, -0.094, 3.532, -3.915, 0.798, 0.304, -1, False
"GO:0016192", "vesicle-mediated transport", 1.336, -0.555, 7.550, 5.478, -8.630, 0.920, 0.325, -1, False
"GO:0034477", "U6 snRNA 3'-end processing", 0.006, -8.019, 2.522, 3.123, -6.779, 0.716, 0.338, -1, False
"GO:0006270", "DNA replication initiation", 0.126, -6.619, -0.064, 4.451, -11.301, 0.685, 0.364, -1, False
"GO:0006415", "translational termination", 0.190, -5.287, -1.610, 4.630, -6.587, 0.594, 0.422, -1, False
"GO:0001522", "pseudouridine synthesis", 0.355, -6.862, 2.607, 4.903, -5.214, 0.670, 0.484, -1, False
"GO:0006397", "mRNA processing", 0.853, -7.386, 1.415, 5.283, -7.569, 0.611, 0.533, -1, False
"GO:0015986", "ATP synthesis coupled proton transport", 0.445, -3.421, 3.782, 5.000, -4.283, 0.621, 0.536, -1, False
"GO:0006418", "tRNA aminoacylation for protein translation", 1.062, -5.675, 1.001, 5.378, -10.932, 0.545, 0.547, -1, False
"GO:0006412", "translation", 5.459, null, null, 6.089, -53.404, 0.560, 0.732, 6418, True
"GO:0051276", "chromosome organization", 2.075, -4.316, -6.383, 5.669, -4.673, 0.861, 0.549, -1, False
"GO:0006413", "translational initiation", 0.525, -4.601, 0.887, 5.072, -3.290, 0.638, 0.561, -1, False
"GO:0009451", "RNA modification", 1.958, -6.763, 1.812, 5.644, -3.705, 0.619, 0.589, -1, False
"GO:0006265", "DNA topological change", 0.260, -6.525, -1.794, 4.768, -5.078, 0.636, 0.617, -1, False
"GO:0006396", "RNA processing", 3.773, -6.706, 1.282, 5.929, -10.511, 0.565, 0.643, -1, False
